PMT_SITE,p_treated_max,p_treated_mean,n_windows,any_treated
1505059FUGIT2FP,0.1042,0.1042,1,0
1505059FUGIT3FP,0.7465,0.7465,1,1
1505059FUGIT6SP,0.9201,0.9201,1,1
1505059FUGIT7SP,0.9265,0.9265,1,1
1505059FUGIT8SP,0.8076,0.8076,1,1
1505059FUGIT9SP,0.8076,0.8076,1,1
1505059FUGT10SP,0.7012,0.7012,1,1
1505059FUGT11SP,0.8681,0.8681,1,1
1505059FUGT12,0.0000,0.0000,1,0
1505059FUGT13,0.0000,0.0000,1,0
1505059IZNFP,0.2000,0.2000,1,0
1505059IZQNFP,0.7718,0.7718,1,1
1505059IZQSFP,0.7257,0.4628,2,1
1505059IZSFP,0.0000,0.0000,1,0
1505059JAMESP,0.8076,0.5003,2,1
1505059JENSEN,0.9410,0.9410,1,1
1505059KIMSP,0.9688,0.9549,2,1
1505059MRCH12SP,0.8354,0.8354,1,1
1505059NSABOSP,0.9479,0.9479,1,1
1505059PALA2FP,0.0000,0.0000,1,0
1505059PALA3FP,0.0000,0.0000,1,0
1505059PALA4FP,0.0000,0.0000,1,0
1505059PALLA4FP,0.9201,0.9201,1,1
1505059PALLA5SP,0.1667,0.1667,1,0
1505059PALLA6SP,0.2000,0.2000,1,0
1505059PALLAFP,0.8076,0.4454,2,1
1505059PET1SP,0.9211,0.4606,2,1
1505059PET2SP,0.9479,0.9479,1,1
1505059PET3SP,0.9722,0.9722,1,1
1505059PET4SP,0.9479,0.9472,2,1
1505059PET5SP,0.8988,0.8445,2,1
1505059PETR3FP,0.2000,0.2000,1,0
1505059PETSSP,0.9410,0.9410,1,1
1505059RICHRDSP,0.9029,0.8870,2,1
1505059RUDDFP,0.1930,0.1930,1,0
1505059SACCOSP,0.9950,0.9576,2,1
1505059SANTFNSP,1.0000,0.9209,2,1
1505059SANTFSSP,1.0000,0.9503,2,1
1505059SMITHSP,0.2778,0.2778,1,0
1505059SVS120FP,0.1042,0.1042,1,0
1505059SVS80SP,1.0000,1.0000,1,1
1505059TOMMYNSP,1.0000,1.0000,1,1
1505059TOMMYSSP,0.9792,0.9792,1,1
1505059TOMYEFP,0.0000,0.0000,2,0
1505059URFRIGSP,0.8947,0.8657,2,1
1505059WID12ASP,1.0000,0.9740,2,1
1505059WID1ASP,0.9792,0.9525,2,1
1505124D15,0.0833,0.0833,1,0
1505124D15A,0.0833,0.0833,1,0
1505124D17A,0.7903,0.7903,1,1
1505124D17B,0.8146,0.8146,1,1
1505124ED23,0.9211,0.9211,1,1
1505124ED23A,0.9514,0.9514,1,1
1505124ED23B,1.0000,1.0000,1,1
