PMT_SITE,window,year,treated,p_treated,cluster_kmeans,cluster_gmm,anomaly_if,anomaly_lof,unsup_risk
15006299A,1,2021,1,1.0000,1,0,0.3936,1.0724,0.7330
15006299B,0,2020,1,0.9722,1,1,0.5051,1.2001,0.8526
1500635APPLEP,0,2020,1,1.0000,1,0,0.3903,1.0484,0.7193
1500635BPECKEP,0,2021,1,0.9792,1,0,0.3916,1.0324,0.7120
1500635BPECKWP,1,2020,1,1.0000,1,0,0.3933,1.0347,0.7140
1500635BV104P,0,2021,1,0.9905,1,0,0.3647,0.9889,0.6768
1500635BV112SP,0,2021,1,1.0000,1,1,0.4316,1.2666,0.8491
1500635BV113P,0,2020,1,1.0000,1,0,0.3770,0.9954,0.6862
1500635BV114P,1,2020,1,0.9792,1,0,0.3824,1.1606,0.7715
1500635BV133P,0,2020,1,1.0000,1,1,0.4723,1.1609,0.8166
1500635BV141P,0,2021,1,1.0000,1,1,0.4136,1.3282,0.8709
1500635BV142P,0,2021,1,1.0000,1,1,0.4697,1.2203,0.8450
1500635BV143P,0,2021,1,1.0000,1,0,0.4705,1.2138,0.8422
1500635BV144P,0,2020,1,0.9722,1,0,0.3802,1.0374,0.7088
1500635DUDANP,0,2020,1,1.0000,1,0,0.3991,1.0361,0.7176
1500635DUDANP,1,2021,1,0.9188,1,1,0.4065,1.2751,0.8408
1500635DUDASP,0,2020,1,1.0000,1,0,0.3844,1.0281,0.7062
1500635FDLT35P,0,2020,1,0.8076,1,1,0.5443,2.7214,1.6329
1500635FDLT35P,1,2021,1,0.9792,1,0,0.3945,1.1367,0.7656
1500635FDLT3SP,0,2020,0,0.1042,1,1,0.5136,2.8470,1.6803
1500635FDLT75EP,0,2020,1,1.0000,1,0,0.3719,1.0333,0.7026
1500635FDLT75WP,1,2021,1,1.0000,1,0,0.4114,1.0543,0.7328
1500635GRIMCP,0,2020,1,0.8146,1,0,0.4126,1.0935,0.7530
1500635GRIMCP,1,2021,1,1.0000,1,0,0.3914,1.0173,0.7044
1500635HAM35P,0,2020,1,1.0000,1,0,0.3923,1.0706,0.7315
1500635HAM35P,1,2021,1,0.9500,1,0,0.4246,1.0461,0.7353
1500635HAMEP,1,2021,1,0.9265,1,0,0.3904,1.1658,0.7781
1500635HAMWEP,0,2020,1,0.9051,1,0,0.3917,1.0084,0.7001
1500635HAMWWP,1,2020,1,0.9792,1,0,0.3750,1.0366,0.7058
1500635JOHNNYP,0,2021,1,1.0000,1,1,0.4904,1.2212,0.8558
1500635MALAGAP,1,2020,1,1.0000,1,0,0.3945,1.1706,0.7825
1500635MTWP,0,2020,1,0.9778,1,0,0.4169,1.0364,0.7267
1500635MTWP,1,2021,1,1.0000,1,0,0.3815,0.9949,0.6882
1500635NCANALP,0,2020,1,1.0000,1,0,0.3973,1.1422,0.7697
1500635NLINP,0,2020,1,1.0000,1,0,0.3757,0.9907,0.6832
1500635NLINP,1,2021,1,0.9792,1,0,0.4178,1.0154,0.7166
1500635PEACH55P,0,2021,1,1.0000,1,1,0.4877,1.2407,0.8642
1500635PEACH75P,0,2020,1,1.0000,1,0,0.4125,1.0904,0.7515
1500635PECK1P,0,2020,1,0.9514,1,0,0.3991,1.0266,0.7128
1500635PECK2P,0,2021,1,0.9792,1,0,0.4225,1.0226,0.7225
1500635PECK3P,1,2021,1,1.0000,1,0,0.4062,1.0409,0.7235
1500635PECK4P,0,2021,1,1.0000,1,0,0.4220,1.1312,0.7766
1500635RIDIANEP,0,2021,1,0.8924,1,1,0.4805,1.4565,0.9685
1500635RIDIANWP,0,2020,1,1.0000,1,0,0.4201,1.0953,0.7577
1500635RIDIANWP,1,2021,1,0.9246,1,0,0.4361,1.1337,0.7849
1500635SABOP,1,2021,1,1.0000,1,1,0.4725,1.3195,0.8960
1500635SAND1P,0,2020,1,0.9792,1,0,0.3785,1.0157,0.6971
1500635SAND1P,1,2021,1,0.8403,1,0,0.3923,1.2314,0.8118
1500635SAND2P,0,2020,1,0.9792,1,0,0.3760,1.0216,0.6988
1500635SAND2P,1,2021,1,0.7500,1,0,0.3784,1.0119,0.6952
1500635SAND3P,0,2021,1,1.0000,1,0,0.4273,1.1102,0.7688
1500635SAND4P,0,2020,1,1.0000,1,0,0.3873,1.0072,0.6972
1500635SAND4P,1,2021,1,0.9514,1,0,0.3883,1.0485,0.7184
1500635SAND5P,0,2021,1,1.0000,1,0,0.4349,1.8840,1.1595
1500635SAND6P,0,2021,1,0.9500,1,0,0.3788,1.0504,0.7146
1500635SAND7P,0,2020,1,0.9265,1,1,0.4167,1.2543,0.8355
